gene_id	product	subfamily	contrast	log2FC	padj	direction
LOC110868941	probable aquaporin PIP1-4	PIP	Orobanche_B	-1.349	0.0164	down
LOC110868941	probable aquaporin PIP1-4	PIP	Orobanche_E	-1.714	0.000832	down
LOC110872551	aquaporin TIP1-3	TIP	Cold	6.633	2.79e-05	up
LOC110872551	aquaporin TIP1-3	TIP	Drought_14d	-4.985	0.00155	down
LOC110872551	aquaporin TIP1-3	TIP	Flooding	1.584	0.000555	up
LOC110872551	aquaporin TIP1-3	TIP	Sclerotinia	4.118	1.02e-07	up
LOC110872551	aquaporin TIP1-3	TIP	Orobanche_D	3.052	0.0094	up
LOC110873151	probable aquaporin TIP2-1	TIP	Salt_NaCl	-2.037	0.0222	down
LOC110873151	probable aquaporin TIP2-1	TIP	Drought_21d	-2.336	0.00016	down
LOC110873322	aquaporin NIP2-2	NIP	Cold	4.901	0.0265	up
LOC110873322	aquaporin NIP2-2	NIP	Drought_7d	-5.589	0.00389	down
LOC110873322	aquaporin NIP2-2	NIP	Drought_14d	-6.537	0.000367	down
LOC110873322	aquaporin NIP2-2	NIP	Drought_21d	-5.011	0.0139	down
LOC110873322	aquaporin NIP2-2	NIP	PEG_72h	-1.968	5.68e-06	down
LOC110877765	probable aquaporin NIP7-1	NIP	Drought_7d	-1.132	0.0206	down
LOC110877765	probable aquaporin NIP7-1	NIP	Drought_14d	-1.127	0.0128	down
LOC110877765	probable aquaporin NIP7-1	NIP	Sclerotinia	-3.287	0.000111	down
LOC118479416	aquaporin TIP2-1-like	TIP	Cold	2.322	1.04e-10	up
LOC118479416	aquaporin TIP2-1-like	TIP	Drought_7d	-1.608	0.00229	down
LOC118479416	aquaporin TIP2-1-like	TIP	Drought_14d	-3.650	9.9e-14	down
LOC118479416	aquaporin TIP2-1-like	TIP	PEG_72h	-1.273	3.1e-08	down
LOC118479416	aquaporin TIP2-1-like	TIP	Orobanche_E	-1.345	1.62e-05	down
LOC110884851	probable aquaporin SIP2-1	SIP	Cold	1.219	5.79e-06	up
LOC110885224	aquaporin	TIP	PEG_72h	1.793	0.0145	up
LOC110886572	aquaporin TIP2-1	TIP	Cold	1.280	0.00194	up
LOC110886572	aquaporin TIP2-1	TIP	Salt_NaCl	-3.353	3.23e-07	down
LOC110886572	aquaporin TIP2-1	TIP	Drought_7d	-4.199	6.65e-05	down
LOC110886572	aquaporin TIP2-1	TIP	Drought_14d	-6.583	2.92e-10	down
LOC110886572	aquaporin TIP2-1	TIP	PEG_72h	-3.531	2.03e-08	down
LOC110886572	aquaporin TIP2-1	TIP	Sclerotinia	1.472	0.00199	up
LOC110886572	aquaporin TIP2-1	TIP	Orobanche_E	-1.646	1.98e-06	down
LOC110890809	aquaporin NIP1-1	NIP	Cold	-1.751	6.73e-07	down
LOC110890809	aquaporin NIP1-1	NIP	Heat	-2.186	4.42e-06	down
LOC110890809	aquaporin NIP1-1	NIP	Drought_7d	-1.457	9.36e-05	down
LOC110890809	aquaporin NIP1-1	NIP	Drought_14d	-1.131	0.00122	down
LOC110890809	aquaporin NIP1-1	NIP	Orobanche_D	2.228	0.0266	up
LOC110890809	aquaporin NIP1-1	NIP	Orobanche_E	2.007	0.0448	up
LOC110890906	aquaporin PIP2-7	PIP	Sclerotinia	3.305	1.44e-13	up
LOC110891299	aquaporin TIP1-1	TIP	Cold	-3.314	0.00592	down
LOC110891299	aquaporin TIP1-1	TIP	Drought_7d	-2.608	0.0438	down
LOC110891299	aquaporin TIP1-1	TIP	Sclerotinia	-1.596	2.12e-12	down
LOC110894233	aquaporin TIP2-1	TIP	Salt_NaCl	-1.444	0.0179	down
