gene_id	product	subfamily	Cold_LFC	Cold_padj	Heat_LFC	Heat_padj	Drought_869_LFC	Drought_869_padj	Salt_NaCl_LFC	Salt_NaCl_padj	Rehydration_LFC	Rehydration_padj	Drought_7d_LFC	Drought_7d_padj	Drought_14d_LFC	Drought_14d_padj	Drought_21d_LFC	Drought_21d_padj	PEG_72h_LFC	PEG_72h_padj	Flooding_LFC	Flooding_padj	Sclerotinia_LFC	Sclerotinia_padj	Orobanche_A_LFC	Orobanche_A_padj	Orobanche_B_LFC	Orobanche_B_padj	Orobanche_C_LFC	Orobanche_C_padj	Orobanche_D_LFC	Orobanche_D_padj	Orobanche_E_LFC	Orobanche_E_padj
LOC110908794	aquaporin PIP2-2	PIP	2.11586	0.00235989	0.115638	0.801401	0.302184	0.510122	-1.66579	9.27919e-07	0.164869	0.855373	-0.36321	0.504257	-3.04654	2.20458e-13	-1.43868	0.00228191	-1.05141	0.000407993	-0.124114	0.59396	0.218075	0.363381	-0.160846	0.891492	-1.09258	0.0321079	-0.0686287	0.927257	-0.300284	0.630157	-1.26712	0.00707856
LOC110908807	aquaporin PIP2-2-like	PIP	4.86979	0.135903	1.69467	NA	NA	NA	NA	NA	NA	NA	-5.15651	0.000913647	-3.53468	0.0121388	-5.27292	0.00134368	-1.17197	8.15513e-06	-0.469184	0.154198	-0.75924	0.796507	0.30025	0.542772	-0.542388	0.090171	-0.0962763	0.821383	-0.688759	0.021675	-0.861079	0.0023755
LOC110868941	probable aquaporin PIP1-4	PIP	1.48674	2.10547e-05	-0.121777	0.935173	0.891869	0.736564	-2.17066	1.08892e-11	-0.283897	0.89919	-1.44217	0.00134276	-1.53992	0.000347483	-2.47765	4.50109e-08	0.835772	0.0966914	-0.111016	0.757263	0.804547	0.418516	0.591457	0.494114	-1.34909	0.016435	0.718817	0.22467	0.340287	0.62167	-1.7136	0.000831525
LOC110872551	aquaporin TIP1-3	TIP	6.63251	2.78776e-05	-1.94583	0.310059	0.311423	NA	NA	NA	NA	NA	-1.81221	0.263124	-4.98504	0.00155283	-1.39543	0.445508	NA	NA	1.58422	0.000554957	4.11768	1.02493e-07	-0.663443	0.814676	-0.134785	0.953515	-0.650792	0.706757	3.05233	0.00940161	-1.58541	0.290818
LOC110873151	probable aquaporin TIP2-1	TIP	-0.812448	0.24333	-0.290351	0.812486	0.32689	0.977171	-2.03714	0.0222351	-1.15305	0.807198	0.258875	0.723182	-0.107061	0.880143	-2.33615	0.000159692	-0.437754	0.326792	0.273059	0.220926	-0.755225	0.09115	0.0737784	0.955277	-0.07344	0.925341	-0.0907527	0.896375	0.100239	0.888113	-0.82578	0.0836273
LOC110873322	aquaporin NIP2-2	NIP	4.90053	0.0265009	NA	NA	0.503273	0.977157	NA	NA	1.24219	0.855373	-5.58939	0.0038892	-6.53722	0.000366572	-5.01061	0.0138595	-1.96756	5.68127e-06	0.658835	0.0862344	NA	NA	-0.37318	NA	0.119183	NA	0.149963	NA	2.39703	0.271414	2.09952	NA
LOC110877765	probable aquaporin NIP7-1	NIP	-0.0160118	0.989401	-0.0341522	0.975666	-1.2708	0.692668	-0.234532	0.877269	-0.120989	NA	-1.1324	0.0206304	-1.12749	0.0128107	-0.605791	0.285765	NA	NA	-0.260444	0.435014	-3.28727	0.000111081	-1.01122	NA	-0.615837	NA	-0.677826	NA	2.16721	NA	0.890245	NA
LOC118481678	probable aquaporin PIP1-4	PIP	NA	NA	-0.569984	NA	NA	NA	NA	NA	NA	NA	-0.149122	NA	1.02874	NA	0.667465	NA	-0.15467	NA	-0.318833	0.701474	-0.841778	NA	0.608459	NA	-0.143492	NA	0.360781	NA	0.222536	NA	-0.273532	NA
LOC118479416	aquaporin TIP2-1-like	TIP	2.32151	1.03793e-10	0.166074	0.827602	0.295516	0.834902	-0.36423	0.334456	0.728854	0.363696	-1.60847	0.00229213	-3.65031	9.90497e-14	-0.909455	0.145946	-1.27346	3.09821e-08	-0.353978	0.114249	0.991478	0.00916463	0.568207	0.213923	-0.605182	0.0984152	-0.167498	0.710863	-0.928963	0.00571137	-1.34457	1.61885e-05
LOC110884851	probable aquaporin SIP2-1	SIP	1.21875	5.78946e-06	-0.405058	0.00757004	0.294035	0.692668	-0.364233	0.139761	-0.326093	0.544524	-0.224928	0.547503	-0.826575	0.00482277	-0.95038	0.00314447	0.0904127	0.585269	0.0212631	0.911734	0.187853	0.467053	-0.563571	1.8251e-06	-0.379459	0.00214007	0.15347	0.251088	0.0149675	0.939873	-0.0657902	0.683722
