gene_id	project	leaf_mean_TPM	root_mean_TPM	log2_root_over_leaf	n_leaf	n_root
LOC110898014	PRJNA1041959	230.950	0.291	-9.207	6	6
LOC110898128	PRJNA1041959	1.721	2.380	0.446	6	6
LOC110898466	PRJNA1041959	6.812	70.258	3.347	6	6
LOC110899589	PRJNA1041959	0.901	1.294	0.478	6	6
LOC110899592	PRJNA1041959	1.321	4.449	1.679	6	6
LOC110899655	PRJNA1041959	0.046	48.346	8.377	6	6
LOC110899654	PRJNA1041959	0.061	32.789	7.677	6	6
LOC110899653	PRJNA1041959	0.014	26.363	7.853	6	6
LOC110899667	PRJNA1041959	0.013	23.036	7.683	6	6
LOC110908730	PRJNA1041959	19.940	13.941	-0.513	6	6
LOC110905693	PRJNA1041959	0.415	0.336	-0.242	6	6
LOC110904303	PRJNA1041959	136.780	605.550	2.146	6	6
LOC110904457	PRJNA1041959	5.588	46.248	3.026	6	6
LOC110904450	PRJNA1041959	0.393	10.790	4.466	6	6
LOC110904451	PRJNA1041959	0.471	16.428	4.856	6	6
LOC110868884	PRJNA1041959	87.006	251.850	1.532	6	6
LOC110904925	PRJNA1041959	0.141	11.194	5.550	6	6
LOC110906290	PRJNA1041959	0.203	0.019	-1.347	6	6
LOC110911072	PRJNA1041959	0.476	167.007	8.181	6	6
LOC110886457	PRJNA1041959	36.342	11.815	-1.613	6	6
LOC110911125	PRJNA1041959	275.112	390.725	0.506	6	6
LOC110911759	PRJNA1041959	0.080	4.438	4.655	6	6
LOC110911761	PRJNA1041959	13.829	1.164	-3.462	6	6
LOC110913792	PRJNA1041959	0.000	0.132	1.214	6	6
LOC110914202	PRJNA1041959	0.052	8.394	5.808	6	6
LOC110912639	PRJNA1041959	0.448	5.557	3.368	6	6
LOC110880175	PRJNA1041959	282.188	1129.355	2.000	6	6
LOC110916291	PRJNA1041959	0.037	154.253	10.136	6	6
LOC110916097	PRJNA1041959	2.344	53.454	4.454	6	6
LOC110937771	PRJNA1041959	0.220	0.030	-1.297	6	6
LOC110923014	PRJNA1041959	84.674	831.871	3.295	6	6
LOC110926365	PRJNA1041959	8.965	68.131	2.912	6	6
LOC110921506	PRJNA1041959	0.451	68.658	6.963	6	6
LOC110925968	PRJNA1041959	214.417	147.385	-0.541	6	6
LOC110923973	PRJNA1041959	0.000	66.444	9.378	6	6
LOC110884547	PRJNA1041959	1.440	0.834	-0.722	6	6
LOC110884546	PRJNA1041959	0.453	0.078	-1.636	6	6
LOC110921437	PRJNA1041959	0.000	0.000	0.000	6	6
LOC110875755	PRJNA492303	1.605	8.367	2.312	24	24
LOC110875737	PRJNA492303	42.638	19.954	-1.092	24	24
LOC110875557	PRJNA492303	154.859	1201.183	2.955	24	24
LOC110878958	PRJNA492303	11.946	114.337	3.248	24	24
LOC110937325	PRJNA492303	6.050	80.205	3.707	24	24
LOC110937328	PRJNA492303	6.379	8.614	0.428	24	24
LOC110906934	PRJNA492303	0.059	0.140	0.588	24	24
LOC110927047	PRJNA492303	83.083	480.688	2.531	24	24
LOC110930503	PRJNA492303	153.156	668.144	2.124	24	24
LOC110930648	PRJNA492303	10.093	73.208	2.846	24	24
LOC110933853	PRJNA492303	0.000	0.004	0.057	24	24
LOC110938010	PRJNA492303	0.031	0.089	0.533	24	24
LOC110939970	PRJNA492303	0.559	0.030	-2.343	24	24
LOC110941540	PRJNA492303	19.202	14.128	-0.440	24	24
LOC110864409	PRJNA492303	28.722	284.496	3.304	24	24
LOC110872387	PRJNA492303	2.888	13.885	2.227	24	24
LOC110865440	PRJNA492303	0.734	0.737	0.004	24	24
LOC110868194	PRJNA492303	0.000	0.003	0.038	24	24
LOC110868195	PRJNA492303	0.014	0.000	-0.188	24	24
LOC110889695	PRJNA492303	56.063	62.264	0.151	24	24
LOC110866810	PRJNA492303	0.035	0.098	0.559	24	24
LOC110868334	PRJNA492303	16.438	52.991	1.683	24	24
LOC110868335	PRJNA492303	0.283	0.244	-0.155	24	24
LOC110868323	PRJNA492303	0.011	0.018	0.092	24	24
LOC110868318	PRJNA492303	0.002	0.000	-0.022	24	24
LOC110868317	PRJNA492303	49.123	209.777	2.092	24	24
LOC110868358	PRJNA492303	7.225	6.973	-0.050	24	24
LOC110908794	PRJNA492303	436.761	40.408	-3.431	24	24
LOC110908807	PRJNA492303	0.149	138.515	9.122	24	24
LOC110868941	PRJNA492303	72.863	38.033	-0.936	24	24
LOC110872551	PRJNA492303	0.121	0.082	-0.276	24	24
LOC110873151	PRJNA492303	2.162	592.566	8.034	24	24
LOC110873322	PRJNA492303	0.865	8.986	3.235	24	24
LOC110877765	PRJNA492303	0.057	0.119	0.481	24	24
LOC118481678	PRJNA492303	0.038	0.043	0.051	24	24
LOC118479416	PRJNA492303	919.679	197.114	-2.222	24	24
LOC110884851	PRJNA492303	6.287	16.360	1.366	24	24
LOC110881936	PRJNA492303	0.309	0.097	-1.055	24	24
LOC110885224	PRJNA492303	0.000	0.001	0.016	24	24
LOC110886572	PRJNA492303	263.877	754.157	1.515	24	24
LOC110890809	PRJNA492303	1.453	0.991	-0.510	24	24
LOC110890906	PRJNA492303	0.756	121.952	7.155	24	24
LOC110891299	PRJNA492303	8.299	383.219	5.512	24	24
LOC110894233	PRJNA492303	118.941	1023.991	3.105	24	24
LOC110892775	PRJNA492303	0.000	0.005	0.071	24	24
LOC110894830	PRJNA492303	0.617	4.813	2.776	24	24
LOC110896719	PRJNA492303	0.375	0.032	-1.845	24	24
LOC110895309	PRJNA492303	7.766	32.546	2.053	24	24
LOC110897890	PRJNA492303	740.330	1193.146	0.688	24	24
LOC110898014	PRJNA492303	215.213	0.912	-7.733	24	24
LOC110898128	PRJNA492303	2.019	1.471	-0.431	24	24
LOC110898466	PRJNA492303	13.861	105.923	2.925	24	24
LOC110899589	PRJNA492303	0.057	0.376	1.599	24	24
LOC110899592	PRJNA492303	0.426	2.018	2.009	24	24
LOC110899655	PRJNA492303	0.806	14.291	3.989	24	24
LOC110899654	PRJNA492303	0.548	7.990	3.642	24	24
LOC110899653	PRJNA492303	0.769	57.216	6.043	24	24
LOC110899667	PRJNA492303	0.211	39.780	7.002	24	24
LOC110908730	PRJNA492303	9.554	10.563	0.143	24	24
LOC110905693	PRJNA492303	0.006	0.071	0.691	24	24
LOC110904303	PRJNA492303	207.851	710.597	1.773	24	24
LOC110904457	PRJNA492303	147.628	65.882	-1.163	24	24
LOC110904450	PRJNA492303	5.754	51.208	3.132	24	24
LOC110904451	PRJNA492303	1.214	1.514	0.297	24	24
LOC110868884	PRJNA492303	59.072	601.654	3.346	24	24
LOC110904925	PRJNA492303	5.575	24.214	2.099	24	24
LOC110906290	PRJNA492303	0.072	0.188	0.745	24	24
LOC110911072	PRJNA492303	0.113	3.166	3.939	24	24
LOC110886457	PRJNA492303	109.029	18.716	-2.536	24	24
LOC110911125	PRJNA492303	36.126	108.048	1.578	24	24
LOC110911759	PRJNA492303	0.026	5.184	5.396	24	24
LOC110911761	PRJNA492303	12.389	3.307	-1.874	24	24
LOC110913792	PRJNA492303	0.015	0.008	-0.079	24	24
LOC110914202	PRJNA492303	0.024	0.033	0.100	24	24
LOC110912639	PRJNA492303	0.007	3.108	4.907	24	24
LOC110880175	PRJNA492303	761.213	3032.862	1.994	24	24
LOC110916291	PRJNA492303	0.012	14.227	6.996	24	24
LOC110916097	PRJNA492303	4.635	10.260	1.130	24	24
LOC110937771	PRJNA492303	0.019	0.015	-0.051	24	24
LOC110923014	PRJNA492303	64.226	700.458	3.445	24	24
LOC110926365	PRJNA492303	13.576	60.088	2.138	24	24
LOC110921506	PRJNA492303	0.555	16.387	4.654	24	24
LOC110925968	PRJNA492303	370.343	343.327	-0.109	24	24
LOC110923973	PRJNA492303	0.006	3.744	5.176	24	24
LOC110884547	PRJNA492303	2.366	1.410	-0.708	24	24
LOC110884546	PRJNA492303	1.235	0.088	-2.825	24	24
LOC110921437	PRJNA492303	0.006	0.025	0.235	24	24
