sample_id	project	condition	tissue	genotype	age	control
SRR7882955	PRJNA492303	control	leaf	RHA428	d24	yes
SRR7882956	PRJNA492303	control	leaf	RHA428	d24	yes
SRR7882957	PRJNA492303	control	leaf	RHA428	d24	yes
SRR7882958	PRJNA492303	control	leaf	RHA428	d30	yes
SRR7882959	PRJNA492303	control	leaf	RHA428	d30	yes
SRR7882960	PRJNA492303	control	leaf	RHA428	d30	yes
SRR7882961	PRJNA492303	control	leaf	RHA428	d30	yes
SRR7882978	PRJNA492303	control	root	RHA428	d16	yes
SRR7882979	PRJNA492303	control	root	RHA428	d16	yes
SRR7882976	PRJNA492303	control	root	RHA428	d16	yes
SRR7882977	PRJNA492303	control	root	RHA428	d16	yes
SRR7882974	PRJNA492303	control	root	RHA428	d24	yes
SRR7882975	PRJNA492303	control	root	RHA428	d24	yes
SRR7882972	PRJNA492303	control	root	RHA428	d24	yes
SRR7882973	PRJNA492303	control	root	RHA428	d24	yes
SRR7882985	PRJNA492303	control	root	RHA428	d30	yes
SRR7882984	PRJNA492303	control	root	RHA428	d30	yes
SRR7882983	PRJNA492303	control	root	RHA428	d30	yes
SRR7882982	PRJNA492303	control	root	RHA428	d30	yes
SRR7882969	PRJNA492303	flooding	leaf	RHA428	d16	no
SRR7882968	PRJNA492303	flooding	leaf	RHA428	d16	no
SRR7882971	PRJNA492303	flooding	leaf	RHA428	d16	no
SRR7882970	PRJNA492303	flooding	leaf	RHA428	d16	no
SRR7882965	PRJNA492303	flooding	leaf	RHA428	d24	no
SRR7882964	PRJNA492303	flooding	leaf	RHA428	d24	no
SRR7882967	PRJNA492303	flooding	leaf	RHA428	d24	no
SRR7882966	PRJNA492303	flooding	leaf	RHA428	d24	no
SRR7882963	PRJNA492303	flooding	leaf	RHA428	d30	no
SRR7882962	PRJNA492303	flooding	leaf	RHA428	d30	no
SRR7882980	PRJNA492303	flooding	leaf	RHA428	d30	no
SRR7882981	PRJNA492303	flooding	leaf	RHA428	d30	no
SRR7882989	PRJNA492303	flooding	root	RHA428	d16	no
SRR7882988	PRJNA492303	flooding	root	RHA428	d16	no
SRR7882987	PRJNA492303	flooding	root	RHA428	d16	no
SRR7882986	PRJNA492303	flooding	root	RHA428	d16	no
SRR7882991	PRJNA492303	flooding	root	RHA428	d24	no
SRR7882990	PRJNA492303	flooding	root	RHA428	d24	no
SRR7882992	PRJNA492303	control	leaf	HA351	d16	yes
SRR7882993	PRJNA492303	control	leaf	HA351	d16	yes
SRR7882994	PRJNA492303	control	leaf	HA351	d16	yes
SRR7882995	PRJNA492303	control	leaf	HA351	d16	yes
SRR7882996	PRJNA492303	control	leaf	HA351	d24	yes
SRR7882997	PRJNA492303	control	leaf	HA351	d24	yes
SRR7882998	PRJNA492303	control	leaf	HA351	d24	yes
SRR7882999	PRJNA492303	control	leaf	HA351	d24	yes
SRR7883000	PRJNA492303	control	leaf	HA351	d30	yes
SRR7883001	PRJNA492303	control	leaf	HA351	d30	yes
SRR7882949	PRJNA492303	flooding	root	HA351	d24	no
SRR7882948	PRJNA492303	flooding	root	HA351	d24	no
SRR7882947	PRJNA492303	flooding	root	HA351	d24	no
SRR7882946	PRJNA492303	flooding	root	HA351	d24	no
SRR7882945	PRJNA492303	flooding	root	HA351	d30	no
SRR7882944	PRJNA492303	flooding	root	HA351	d30	no
SRR7882943	PRJNA492303	flooding	root	HA351	d30	no
SRR7882942	PRJNA492303	flooding	root	HA351	d30	no
SRR7883014	PRJNA492303	flooding	root	RHA428	d24	no
SRR7883015	PRJNA492303	flooding	root	RHA428	d24	no
SRR7883016	PRJNA492303	flooding	root	RHA428	d30	no
SRR7883017	PRJNA492303	flooding	root	RHA428	d30	no
SRR7883012	PRJNA492303	flooding	root	RHA428	d30	no
SRR7883013	PRJNA492303	flooding	root	RHA428	d30	no
SRR7883006	PRJNA492303	control	leaf	HA351	d30	yes
SRR7883007	PRJNA492303	control	leaf	HA351	d30	yes
SRR7883023	PRJNA492303	control	root	HA351	d16	yes
SRR7883022	PRJNA492303	control	root	HA351	d16	yes
SRR7883025	PRJNA492303	control	root	HA351	d16	yes
SRR7883024	PRJNA492303	control	root	HA351	d16	yes
