gene_id	module_number	module_color	gene_name	subfamily	kME_12	kME_15	kME_26	kME_1	kME_4	kME_27	kME_18	kME_21	kME_2	kME_6	kME_23	kME_29	kME_19	kME_7	kME_8	kME_16	kME_9	kME_0	kME_14	kME_22	kME_24	kME_10	kME_28	kME_3	kME_5	kME_11	kME_13	kME_25	kME_17	kME_20	drought.GS_drought	drought.GS_pval_drought	cold.GS_cold	cold.GS_pval_cold	salt.GS_salt	salt.GS_pval_salt	control.GS_control	control.GS_pval_control	heat.GS_heat	heat.GS_pval_heat
LOC110868941	10	purple	probable aquaporin PIP1-4	PIP	-0.0281356076090139	-0.219240225535719	-0.369938311070727	-0.355542419877173	-0.356882203964007	-0.0956718436621874	0.555015117334526	0.277925134188687	0.327708172827415	0.0237704011332691	-0.220445273627342	0.0668895345713426	0.129600273204746	0.259296017042855	0.237568607205812	-0.236588927842078	-0.0296008861782459	-0.277018131923241	0.334354728465151	0.488373114878557	0.417686147960925	0.660999038415524	0.559059530605933	-0.0890348665420325	0.248531326476947	0.0358700355630345	0.607978949493395	0.274834793696164	0.642992255336267	0.566353667074238	-0.2293177928889	0.154622636373987	0.336500691384122	0.0337469693738514	-0.492936228731961	0.00123104108049421	0.354415043469058	0.0248432755687406	0.228051467059228	0.15697565205811
LOC110872387	9	magenta	probable aquaporin NIP5-1	NIP	-0.29827223130611	-0.724266275055199	-0.366109948197397	-0.299125824857761	0.0319011093157267	-0.284459867646298	-0.0470778250561749	0.0318984199539804	0.258002991265091	0.382486262689968	-0.254592193964495	-0.593435130967957	-0.0949330691304023	-0.110427465662199	0.13314063580687	0.511988419012004	0.699147306787626	0.681385207152326	-0.558116237196897	-0.1818094739418	-0.541538944033734	-0.204202805169731	-0.298844115968071	-0.313463412188822	-0.0828960950138351	0.0485562713937146	0.441643420506603	0.411727875462772	0.00838160775896469	0.0734694663566521	-0.162190458482753	0.317361124555648	0.145286701522006	0.371056849135484	0.57055554365103	0.000121033483617504	0.318172343174652	0.0454116402159429	-0.546428237133906	0.000264567650267488
LOC110872551	0	grey	aquaporin TIP1-3	TIP	0.00257607475679946	0.105286640273171	0.0645046397287824	0.116243323364254	-0.0604189288522294	-0.258013698734893	-0.166053789894557	-0.265640230877263	-0.108150140695577	-0.128019911264457	-0.0518498386730303	0.0800753587747587	0.251005805160036	-0.0614493435042181	0.0378035375236756	0.0533083580454297	-0.106036276072407	-0.128184158140322	0.498232053506821	0.598551034387101	0.401077271624037	0.454860089039013	0.136573173862357	0.0872893689995254	0.0215877587494523	-0.0309658690729044	0.0766651703056662	0.0325759260233442	0.0970771573779005	0.329136940523367	-0.0391195326498561	0.810593992213288	-0.227015662412738	0.158919612230539	-0.170111953092599	0.293975997654113	-0.0361031337325801	0.824961843883795	0.313695087890402	0.0487077876365462
LOC110875557	5	green	aquaporin PIP2-2	PIP	-0.476705910857736	-0.0652983866239123	-0.205839348018507	-0.403204355953556	-0.827833191663468	-0.591946494994135	0.287406067365744	-0.33409541420624	0.265274785177271	-0.493046109600998	-0.217620350657275	0.343533145794244	-0.135631212180239	-0.111470211144088	-0.454013510473701	-0.335667904984933	0.0279773751829968	-0.349382110318773	0.462081019531969	0.0523520406166373	0.287292155312839	0.708414346801707	0.621562027341427	0.406497183720554	0.77818599766968	0.788341899319603	0.373586297564056	0.255741371182624	0.432006459724085	0.416623353850036	-0.622870374776922	1.76907836813212e-05	0.116395840627297	0.474457490373787	-0.150096937095272	0.355254102347121	-0.129145003766813	0.42706808803872	0.714333010679989	2.26232260402125e-07
LOC110875737	1	turquoise	probable aquaporin TIP1-1	TIP	0.358836790075711	0.632931436628907	0.427989698805733	0.899805166532254	0.388256340295447	0.364703554061462	-0.571102616448145	-0.462031394424137	-0.870061244917012	-0.518643635172477	-0.1320287352798	-0.195402027246617	-0.073884496732369	-0.305593360056983	-0.323761244340726	0.376184284143895	-0.440769602260552	-0.354483897612964	0.464680579532524	0.224694738461264	-0.0764758659400834	-0.313924316557678	-0.175047013946488	0.52064960542344	-0.164113345243043	-0.297071133278033	-0.65144641580356	-0.451184978114755	-0.379436390351867	0.0495766196915139	0.558432517863084	0.000180640974923517	-0.565391094830588	0.000143819833413396	-0.0963137997165058	0.554384281730728	-0.540804841825306	0.00031480295779707	0.148831172291685	0.359372354910284
LOC110878958	18	lightgreen	aquaporin SIP1-1	SIP	0.166380068728023	0.0691922290743924	-0.158382295470462	-0.447429295396016	-0.386645069447331	0.10492154886816	0.853931182470844	0.56190139050748	0.530941109681609	0.0531516572475183	0.123482129155329	0.513474252076896	0.0723460444319491	0.56425685408915	0.285947836716818	-0.704979940166026	-0.315842900409132	-0.459171376082884	0.137506161087748	-0.127218940500904	0.35062867485802	0.407251484451372	0.580007920336455	-0.190556630585118	0.259227454531362	0.212541798117727	0.295181035209818	-0.0652095187641016	0.675384618797963	0.122181154609502	-0.279460346290296	0.0807414689499808	0.685360640174703	1.06501331493897e-06	-0.490467783671734	0.00131380831059674	0.068233248194009	0.675692080420772	0.239477064646116	0.136668766280636
LOC110889695	4	yellow	probable aquaporin PIP2-5	PIP	0.761929997129345	0.587377164393899	0.579041021532585	0.715987138638648	0.908628601070987	0.798021200671229	-0.314110184710181	0.266129909341446	-0.488587765434744	0.26959236488722	0.429752203970224	-0.0126379909923091	0.224523562474142	0.232635894362895	0.30503452941331	0.117146890349549	-0.485022674211732	-0.0283506041364981	-0.122010130135775	-0.019919681178983	-0.0442273808404862	-0.690468678735719	-0.4738942052735	-0.236660159599365	-0.80747042013042	-0.842044402036449	-0.738283394984828	-0.639356763944394	-0.443184586371747	-0.508228386423429	0.777267588297582	3.67241559017825e-09	-0.151696476026928	0.350090971190403	-0.148973326946308	0.358908415278477	-0.136090618427859	0.40240978877675	-0.46224451328584	0.00267420416861908
LOC110890906	15	midnightblue	aquaporin PIP2-7, transcript variant X1	PIP	0.535915342332911	0.738671947237993	0.69419573096757	0.379130863465478	0.0885759079524926	0.12226183473084	-0.0621455171289456	-0.257681314873672	-0.327957285242026	-0.296134522211899	0.313074587164401	0.484993330902147	0.40533327362344	0.373554468735733	-0.0250504175755581	-0.285833085979433	-0.732099634869638	-0.575269593928547	0.527791028808653	-0.0264709469188982	0.13032695250349	-0.0237195759037036	0.179631992540757	0.16149960740301	-0.0696537148264468	0.0529353267898865	-0.476530279378939	-0.68041553121267	0.21229750030298	-0.0577589315260566	0.382743347901321	0.0147875319876461	0.0771679403606348	0.63601088041907	-0.48154093639324	0.00165574893869551	-0.532063709462112	0.000410014067846073	0.263136244422104	0.100900670719966
LOC110891299	7	black	aquaporin TIP1-1	TIP	0.501973872719776	0.357827106714779	0.413839343007987	0.0859312339898645	0.0345552209266678	0.178817543113268	0.322268863060789	0.131865049654196	0.0493388111782707	-0.0164500606237653	0.236092050872292	0.33052031611735	0.319795506280569	0.586189584598803	0.191836529197946	-0.229439056335427	-0.451900562089328	-0.354326010002536	0.153119948624702	-0.311323448754056	-0.0157494679531655	-0.10044946690431	0.0422488114634239	-0.150680658678692	-0.0846407451630143	0.170732398984913	-0.12288014190781	-0.5255154856427	0.471361171954458	0.0181151115779173	0.217415215839465	0.177775296737384	0.532151397934688	0.000408943158373755	-0.259735994423476	0.105546441765154	-0.422833823424598	0.00656306802333774	-0.0614189837932923	0.706555717765531
LOC110894830	9	magenta	aquaporin PIP2-1	PIP	-0.239170419081026	-0.537110551599477	0.00663635528061622	-0.108650506816793	0.261425562890306	-0.274376639220827	-0.367549553582758	-0.119085467473581	0.13605651034066	0.448250465313915	0.0312490708980187	-0.468850383136477	0.0171792759881232	-0.142584592315351	-0.118967505948789	0.662264576644476	0.702162321821747	0.844712153786592	-0.624307723789802	-0.273156679455146	-0.576893762433183	-0.427085191563921	-0.567554551395923	-0.363719355370088	-0.311227920313075	0.0228558728977214	0.197493743405793	0.0939928280963015	-0.25790771833106	-0.163745970752685	-0.0514841619163111	0.752383177795336	-0.0350299485529132	0.830087553003598	0.855658322722644	2.00866161018633e-12	-0.101430920016595	0.533433836255229	-0.54859290125712	0.000247238321696482
