gene_id	module_number	module_color	gene_name	subfamily	chromosome	protein_ids	kME_23	kME_2	kME_6	kME_20	kME_25	kME_17	kME_8	kME_21	kME_13	kME_5	kME_11	kME_7	kME_12	kME_3	kME_16	kME_14	kME_10	kME_19	kME_9	kME_0	kME_24	kME_26	kME_15	kME_22	kME_4	kME_1	kME_18	drought.GS_drought	drought.GS_pval_drought	cold.GS_cold	cold.GS_pval_cold	salt.GS_salt	salt.GS_pval_salt	control.GS_control	control.GS_pval_control	heat.GS_heat	heat.GS_pval_heat
LOC110868323	2	blue	probable aquaporin PIP2-4	PIP	Ha7	XP_021973148.1	0.579935892991856	0.609590949571725	0.516524434668751	0.47955691934557	0.295269440551571	0.314452877465817	-0.00480849973513628	0.230716446356414	-0.222139024317999	0.0267312978969104	-0.395971844411721	0.596839353770504	0.298576254365187	0.0455751728676296	-0.130499136294812	0.366567602885403	-0.0903044049772018	-0.178970769021388	-0.0326764590099426	0.041955442227705	-0.287247342887901	-0.32927703333525	-0.566466362473662	-0.626158168244725	-0.592767798771154	-0.618520117537066	-0.576795283993019	-0.526409773407486	0.00048460235174753	0.6086756488744	3.08338296663018e-05	-0.033052777798949	0.83954889332363	0.144299153567334	0.374352194925293	0.114564265400494	0.481485760906457
LOC110868318	0	grey	probable aquaporin PIP2-4	PIP	Ha7	XP_021973145.1	0.058515280600034	0.224248166929821	0.103147821907302	0.0831124366490024	-0.0943403812984416	0.196797991087305	0.0254125481943745	0.271801757718833	-0.193383375937831	0.0487256735216254	-0.0297857175150498	0.169951703557354	-0.0650046831755397	-0.0979461550692388	-0.163573875400377	0.231456437602824	0.0590089279950362	0.0494392766851395	-0.100261063784315	-0.0133119106043163	0.00258770401248522	0.158458806089521	-0.19906073243987	-0.0710033156819302	-0.173246771714782	-0.0765721099862143	-0.15098614540111	-0.198820757902839	0.218733627681737	0.0798251050235541	0.624394444513109	0.0421363443302251	0.796285184172165	-0.139560416323764	0.390405084823245	0.187626846505686	0.246309774570043
LOC110868317	2	blue	aquaporin PIP2-4	PIP	Ha7	XP_021973144.1	0.311108770864823	0.483296061507309	0.395877202404856	0.302169077526028	0.566540682150451	-0.0984561341465407	0.0903915416458383	0.0896034860546219	0.266804373783927	0.289955871758967	-0.0637949092801955	0.035104440828023	0.266220231467226	-0.243603642032036	-0.140582564387772	0.290329248826285	-0.0182790653981489	-0.353350859399729	0.332325376319834	0.297135059643111	-0.203466682916023	-0.20619903013582	-0.14501318992327	-0.168581843168931	-0.472247920747901	-0.390790872883952	-0.19830489225879	-0.202458616818754	0.210249256555516	0.170450662137554	0.293001496517874	-0.0186930554930584	0.908852362154129	0.581749172680883	8.24476030080166e-05	-0.202927772641834	0.209171953206925
LOC110868358	0	grey	aquaporin PIP2-4	PIP	Ha7	XP_021973181.1	0.396093605757069	0.543515181334448	0.472216587095697	0.618892161651608	0.793110584959417	-0.00441864592639314	0.0973340754805888	0.141268442214729	0.254087011600815	0.161871232778495	-0.290861504763435	0.225021126613714	0.384430986686051	-0.122606058452096	-0.133357995423155	0.562935248455686	0.240496162100015	-0.173357287733804	0.329851431739422	0.141874496682476	-0.290862840025105	-0.357428609796939	-0.136925951293254	-0.214627155356326	-0.551617412898999	-0.552023623601896	-0.0945218105934914	-0.309961297744186	0.0516016690901807	0.333274870868047	0.0355994541956271	-0.174174414026177	0.282425233215658	0.503690969607721	0.000921847436961796	-0.0252557736713203	0.877064930114114
LOC110908794	4	yellow	aquaporin PIP2-2	PIP	Ha7	XP_022009469.1	-0.626888702690597	-0.692519936786098	-0.597189708937339	-0.492576166910492	-0.565645547195006	-0.0225399559583927	-0.0771899146283244	-0.0678990964645542	-0.193458748792009	-0.12507413605905	0.346517140963593	-0.497870748195837	-0.382594431296758	0.0354339731037167	0.163489556817139	-0.351343891742017	0.17412286917077	0.370103154273917	-0.247219441027078	-0.148914044054523	0.242398594242763	0.391548623765001	0.365287139982913	0.711036263037044	0.72116448597897	0.694669521660017	0.396601532433582	0.50273537360565	0.0009462081116704	-0.570860764702461	0.000119795093893717	-0.125689536314722	0.439643483759412	-0.0539526620526923	0.74091093816585	-0.0372920853762219	0.819291576578145
LOC110908807	0	grey	aquaporin PIP2-2-like	PIP	Ha7	XP_035831160.1	-0.12600395454454	-0.38927293611558	-0.306637018257197	0.168213874807951	0.0530033853303067	0.114560172492558	-0.117830208162194	-0.134842431742391	-0.0120056208603135	-0.416512519610956	-0.201636106494013	0.0674471593999537	0.0358173265542784	0.380938389442533	0.176237187702777	0.143242795872764	0.491689354020337	0.551542667851873	-0.194241993610269	-0.457018528735202	0.0474093646886277	-0.0912378778844507	0.165394251537934	0.214853399426172	0.4007499246103	0.149142846655256	0.425203004201272	0.169632914362467	0.295357799599011	-0.232240571773234	0.149290056200675	-0.37563874143994	0.0169116521178626	-0.0524618074515872	0.747833179339866	0.289147517296285	0.0703556621647517
LOC110868941	20	royalblue	probable aquaporin PIP1-4	PIP	Ha7	XP_021973917.1	0.445122525184254	0.303656262073147	0.34162187101725	0.728738925919678	0.611312115002029	0.298917193710604	0.131956785849869	0.0864940023872906	0.173351570369986	-0.0509808828949232	-0.318137597814485	0.261529699107681	0.243451494019308	0.0915828604972969	-0.178748295122936	0.63869659997152	0.448351271548649	0.236035805679929	-0.0454193157679023	-0.279552351840136	-0.222325063311217	-0.274051424812087	-0.284916073324243	-0.236251117125739	-0.285882849270738	-0.398945391870965	0.0488958572015521	-0.2293177928889	0.154622636373987	0.336500691384122	0.0337469693738514	-0.492936228731961	0.00123104108049421	0.354415043469058	0.0248432755687406	0.228051467059228	0.15697565205811
LOC110872551	0	grey	aquaporin TIP1-3	TIP	Ha8	XP_021977057.1	-0.27712115465527	-0.0920829831661796	-0.144480515543667	0.127197943917348	-0.0374386143825517	0.0778873146012423	-0.00153426491894759	0.112606793634429	0.115840576949867	-0.139358435225889	-0.0656466324350283	-0.00161610460856554	-0.0195466574552842	0.0629927455712288	-0.0290605854570928	0.402614270941054	0.519523658614162	0.348318300314622	-0.0887188549751673	-0.173972622302247	-0.0755373994510052	-0.0230405652472512	0.0534767243944884	0.352135412061421	0.109930947428343	0.0714659968702971	0.177795946948607	-0.0391195326498561	0.810593992213288	-0.227015662412738	0.158919612230539	-0.170111953092599	0.293975997654113	-0.0361031337325801	0.824961843883795	0.313695087890402	0.0487077876365462
LOC110873151	20	royalblue	probable aquaporin TIP2-1	TIP	Ha8	XP_021977771.1	0.502216964795429	0.387153009393333	0.605613174432732	0.815474029398143	0.53190202240827	0.446385729606014	0.324551780871903	0.357427537843794	0.249636565580602	0.0245922964422064	-0.405625188210082	0.358954264819314	0.118217970641616	-0.0316260230075935	-0.287152327054321	0.29149742096968	0.126018483711112	0.0378007915474631	-0.102981464109765	-0.209516610604295	-0.557716242950501	-0.531652843493417	-0.288646671457282	-0.443666933862942	-0.445675555205211	-0.402670862434315	-0.0555564026705674	-0.129844939574477	0.424545573887469	0.632995502112617	1.17019686567008e-05	-0.308695426768881	0.0526135536941187	0.0565691509194016	0.72881105639222	-0.0099743819864644	0.951291831934522
LOC110873322	1	turquoise	aquaporin NIP2-2	NIP	Ha8	XP_021977943.1	-0.165131267886956	-0.548188458510176	-0.190898860716708	-0.293218070537078	-0.494556115638485	0.20817817035656	0.36110663407397	0.151689905173033	0.0695055889833786	0.183945980220265	0.530818699143316	-0.576562813663678	-0.651767556847815	-0.21643572545953	-0.26301340900626	-0.515136805554417	-0.243335129057936	0.227265500341548	-0.373614713044135	-0.275245132937179	0.0283330861382854	0.418199120456644	0.244026141881362	0.206323730316029	0.488535763659123	0.753815207582553	0.635003160919375	0.691660157057265	7.72066277957309e-07	-0.164135096461259	0.311514835178015	-0.265481180097304	0.0977890311052824	-0.164135096461259	0.311514835178015	-0.267743697356565	0.0948570320108967
