sample_id	project_id	library_name	condition	stress	tissue	genotype	stress_type
SRR7882959	PRJNA492303	208CL3R2	control	flooding	leaf	RHA428	abiotic
SRR7882960	PRJNA492303	208CL3R3	control	flooding	leaf	RHA428	abiotic
SRR7882961	PRJNA492303	208CL3R4	control	flooding	leaf	RHA428	abiotic
SRR7882962	PRJNA492303	208FL3R2	flooding	flooding	leaf	RHA428	abiotic
SRR7882963	PRJNA492303	208FL3R1	flooding	flooding	leaf	RHA428	abiotic
SRR7882964	PRJNA492303	208FL2R2	flooding	flooding	leaf	RHA428	abiotic
SRR7882965	PRJNA492303	208FL2R1	flooding	flooding	leaf	RHA428	abiotic
SRR7882966	PRJNA492303	208FL2R4	flooding	flooding	leaf	RHA428	abiotic
SRR7882967	PRJNA492303	208FL2R3	flooding	flooding	leaf	RHA428	abiotic
SRR7882968	PRJNA492303	208FL1R2	flooding	flooding	leaf	RHA428	abiotic
SRR7882969	PRJNA492303	208FL1R1	flooding	flooding	leaf	RHA428	abiotic
SRR7882970	PRJNA492303	208FL1R4	flooding	flooding	leaf	RHA428	abiotic
SRR7882971	PRJNA492303	208FL1R3	flooding	flooding	leaf	RHA428	abiotic
SRR7882972	PRJNA492303	208CR2R3	control	flooding	root	RHA428	abiotic
SRR7882973	PRJNA492303	208CR2R4	control	flooding	root	RHA428	abiotic
SRR7882974	PRJNA492303	208CR2R1	control	flooding	root	RHA428	abiotic
SRR7882975	PRJNA492303	208CR2R2	control	flooding	root	RHA428	abiotic
SRR7882976	PRJNA492303	208CR1R3	control	flooding	root	RHA428	abiotic
SRR7882977	PRJNA492303	208CR1R4	control	flooding	root	RHA428	abiotic
SRR7882978	PRJNA492303	208CR1R1	control	flooding	root	RHA428	abiotic
SRR7882979	PRJNA492303	208CR1R2	control	flooding	root	RHA428	abiotic
SRR7882980	PRJNA492303	208FL3R3	flooding	flooding	leaf	RHA428	abiotic
SRR7882981	PRJNA492303	208FL3R4	flooding	flooding	leaf	RHA428	abiotic
